label	parent	mass (kg)	epoch	sma (m)	ecc	inc(°)	lan(°)	aop(°)	ma(°)
s2017_j_6	jupiter	0.0042e15	0	23251200e3	0.333	149.6	312.8	15.5	146.0
s2017_j_7	jupiter	0.0042e15	0	20960400e3	0.235	147.4	264.9	288.7	353.0
s2017_j_8	jupiter	0.00052e15	0	22819600e3	0.259	164.8	97.3	330.5	349.4
s2017_j_9	jupiter	0.014e15	0	21764200e3	0.197	155.4	245.3	276.4	243.3
s2017_j_10	jupiter	0.00052e15	0	21075800e3	0.209	145.1	329.6	195.3	157.7
s2017_j_11	jupiter	0.00052e15	0	22991300e3	0.268	164.8	134.9	25.5	236.9
s2018_j_2	jupiter	0.014e15	0	11419700e3	0.152	28.3	91.8	288.6	115.5
s2018_j_3	jupiter	0.00052e15	0	23400200e3	0.268	164.9	135.7	177.5	279.0
s2018_j_4	jupiter	0.0042e15	0	16328500e3	0.177	50.2	52.1	285.0	138.3
s2018_j_5	jupiter	0.0042e15	0	23269900e3	0.261	164.9	189.4	292.4	82.9
s2021_j_1	jupiter	0.00052e15	0	20954700e3	0.228	150.5	241.1	20.6	129.1
s2021_j_2	jupiter	0.00052e15	0	20926600e3	0.242	148.1	269.5	25.9	110.8
s2021_j_3	jupiter	0.0042e15	0	20776600e3	0.239	147.9	141.7	218.6	167.9
s2021_j_4	jupiter	0.00052e15	0	23019700e3	0.265	164.6	129.9	140.5	218.9
s2021_j_5	jupiter	0.0042e15	0	23414600e3	0.272	164.9	154.4	273.4	236.5
s2021_j_6	jupiter	0.00052e15	0	22870400e3	0.271	164.9	87.2	146.2	208.5
s2022_j_1	jupiter	0.00052e15	0	22744700e3	0.257	164.5	310.9	232.4	42.2
s2022_j_2	jupiter	0.00052e15	0	23073400e3	0.263	164.7	47.7	357.0	98.9
s2022_j_3	jupiter	0.00052e15	0	21015100e3	0.248	148.1	233.1	351.6	271.7
s2024_j_1	jupiter	0.0042e15	0	23462100e3	0.273	164.7	272.4	108.8	147.7
mimas	saturn	3.75093e19	0	186000e3	0.020	1.6	66.2	160.4	275.3
enceladus	saturn	1.08031e20	0	238400e3	0.005	0.0	0.0	119.5	57.0
tethys	saturn	6.174957e20	0	295000e3	0.001	1.1	273.0	335.3	0.0
dione	saturn	1.095486e21	0	377700e3	0.002	0.0	0.0	116.0	212.0
rhea	saturn	2.3064848e21	0	527200e3	0.001	0.3	133.7	44.3	31.5
titan	saturn	1.3451800e23	0	1221900e3	0.029	0.3	78.6	78.3	11.7
hyperion	saturn	5.5509e18	0	1481500e3	0.105	0.6	87.1	214.0	122.9
iapetus	saturn	1.8056587e21	0	3561700e3	0.028	7.6	86.5	254.5	74.8
phoebe	saturn	8.3123e18	0	12929400e3	0.164	175.2	192.7	240.3	308.0
helene	saturn	7.1e15	0	377600e3	0.007	0.2	260.8	194.3	-64.5
telesto	saturn	3.9e15	0	295000e3	0.001	1.2	242.1	66.2	360.0
calypso	saturn	1.8e15	0	295000e3	0.001	1.5	326.6	221.6	-0.0
methone	saturn	0.00392e15	0	194700e3	0.002	0.0	0.0	315.5	0.0
polydeuces	saturn	0.0075e15	0	377600e3	0.019	0.2	167.5	94.1	359.0
janus	saturn	1.8971e18	0	151500e3	0.007	0.2	159.9	11.1	111.7
epimetheus	saturn	5.264e17	0	151400e3	0.020	0.3	189.8	96.3	197.2
atlas	saturn	5.49e15	0	137700e3	0.001	0.0	0.0	82.3	289.1
prometheus	saturn	1.604e17	0	139400e3	0.002	0.0	0.0	341.9	135.4
pandora	saturn	1.39e17	0	141700e3	0.004	0.0	0.0	217.9	123.9
pan	saturn	4.2e15	0	133600e3	0.000	0.0	0.0	0.0	146.6
pallene	saturn	0.023e15	0	212300e3	0.004	0.2	304.3	194.9	2.0
daphnis	saturn	0.068e15	0	136500e3	0.000	0.0	0.0	0.0	153.6
anthe	saturn	0.0015e15	0	198100e3	0.002	0.0	0.0	293.4	351.4
aegaeon	saturn	0.0000782e15	0	167500e3	0.000	0.0	0.0	0.0	4.4
ymir	saturn	5.6e15	0	22955600e3	0.338	172.3	204.5	45.3	167.5
paaliaq	saturn	14e15	0	14997700e3	0.378	48.5	353.2	237.6	318.2
tarvos	saturn	2.1e15	0	18216600e3	0.522	37.8	95.7	282.9	64.5
ijiraq	saturn	1.8e15	0	11344700e3	0.293	49.2	152.5	68.6	83.4
suttungr	saturn	0.27e15	0	19391900e3	0.116	175.7	253.2	65.0	171.0
kiviuq	saturn	3.6e15	0	11307400e3	0.275	48.0	352.7	91.8	183.2
mundilfari	saturn	0.27e15	0	18588200e3	0.211	167.1	79.2	305.4	299.0
albiorix	saturn	12e15	0	16329200e3	0.482	36.8	111.1	62.8	155.0
skathi	saturn	0.38e15	0	15575400e3	0.281	151.6	284.1	202.3	269.3
erriapus	saturn	0.95e15	0	17506900e3	0.475	37.1	146.2	279.8	14.3
siarnaq	saturn	32e15	0	17881100e3	0.308	47.8	64.0	68.4	62.7
thrymr	saturn	0.38e15	0	20330500e3	0.467	175.0	247.3	92.2	216.2
narvi	saturn	0.27e15	0	19285000e3	0.441	142.2	179.0	177.9	111.5
aegir	saturn	0.065e15	0	20664400e3	0.255	166.1	181.9	244.7	23.5
bebhionn	saturn	0.18e15	0	17027300e3	0.459	38.6	197.7	5.1	128.4
bergelmir	saturn	0.11e15	0	19268100e3	0.145	158.8	207.9	133.9	255.7
bestla	saturn	0.27e15	0	20337800e3	0.486	138.3	283.0	85.6	33.1
farbauti	saturn	0.065e15	0	20290700e3	0.249	156.2	138.0	343.6	9.0
fenrir	saturn	0.034e15	0	22330800e3	0.137	164.5	234.6	114.5	38.6
fornjot	saturn	0.11e15	0	24936800e3	0.213	170.0	269.3	321.9	53.5
hati	saturn	0.11e15	0	19695000e3	0.372	165.4	316.3	10.4	270.6
hyrrokkin	saturn	0.38e15	0	18340900e3	0.336	149.9	40.2	264.8	214.8
kari	saturn	0.27e15	0	22032100e3	0.469	153.0	288.3	160.2	83.1
loge	saturn	0.11e15	0	22919200e3	0.191	168.1	333.0	20.5	32.1
skoll	saturn	0.11e15	0	17623400e3	0.463	159.4	294.0	186.1	181.2
surtur	saturn	0.065e15	0	22748000e3	0.448	168.4	255.3	314.4	9.9
jarnsaxa	saturn	0.065e15	0	19273500e3	0.218	163.0	9.2	229.2	175.5
greip	saturn	0.11e15	0	18380000e3	0.317	174.2	335.8	146.2	355.9
tarqeq	saturn	0.18e15	0	17751000e3	0.144	48.7	93.3	72.2	292.8
gridr	saturn	0.065e15	0	19250600e3	0.187	163.9	330.8	271.4	197.0
angrboda	saturn	0.034e15	0	20591500e3	0.216	177.7	279.1	104.2	263.0
skrymir	saturn	0.065e15	0	21447400e3	0.437	175.6	177.7	68.1	68.9
gerd	saturn	0.034e15	0	20947500e3	0.517	174.4	260.4	307.2	49.5
s2004_s_26	saturn	0.065e15	0	26097500e3	0.147	172.9	328.8	148.4	193.6
eggther	saturn	0.11e15	0	19844600e3	0.157	165.0	84.5	130.1	111.7
s2004_s_29	saturn	0.065e15	0	17063900e3	0.485	38.6	157.9	309.5	244.1
beli	saturn	0.034e15	0	20703700e3	0.087	158.9	258.7	263.5	191.7
gunnlod	saturn	0.065e15	0	21141800e3	0.251	160.4	293.3	24.7	311.4
thiazzi	saturn	0.034e15	0	23577500e3	0.511	158.8	73.1	303.2	334.7
s2004_s_34	saturn	0.034e15	0	24145800e3	0.279	168.3	292.6	354.5	160.0
alvaldi	saturn	0.065e15	0	21993800e3	0.238	177.4	321.8	188.1	38.3
geirrod	saturn	0.034e15	0	22259400e3	0.539	154.4	127.9	349.6	202.2
s2004_s_31	saturn	0.065e15	0	17497100e3	0.159	48.0	82.5	253.9	261.8
s2004_s_24	saturn	0.034e15	0	23338200e3	0.071	37.4	354.0	338.4	122.1
s2004_s_28	saturn	0.065e15	0	21865900e3	0.159	167.9	128.8	191.9	95.8
s2004_s_21	saturn	0.034e15	0	23160900e3	0.394	153.2	112.3	174.9	198.7
s2004_s_36	saturn	0.034e15	0	23390800e3	0.625	153.3	212.7	213.4	132.0
s2004_s_37	saturn	0.034e15	0	15956300e3	0.448	158.2	135.3	72.4	187.6
s2004_s_39	saturn	0.034e15	0	23192400e3	0.100	165.9	168.9	223.3	83.8
s2004_s_7	saturn	0.065e15	0	21327600e3	0.511	164.8	323.8	54.9	116.9
s2004_s_12	saturn	0.034e15	0	19801000e3	0.337	164.7	306.0	88.1	10.9
s2004_s_13	saturn	0.034e15	0	18453700e3	0.265	169.0	217.8	355.4	51.9
s2004_s_17	saturn	0.034e15	0	19699000e3	0.162	167.9	12.5	184.5	227.6
s2004_s_40	saturn	0.034e15	0	16075600e3	0.297	169.2	37.9	127.5	291.4
s2004_s_41	saturn	0.034e15	0	18095400e3	0.301	165.7	43.6	232.6	343.6
s2004_s_42	saturn	0.034e15	0	18240700e3	0.158	165.7	3.9	107.2	325.2
s2004_s_43	saturn	0.034e15	0	18935700e3	0.432	171.1	191.9	234.0	14.5
s2004_s_44	saturn	0.065e15	0	19515400e3	0.129	167.7	39.5	176.4	292.8
s2004_s_45	saturn	0.034e15	0	19693700e3	0.551	154.0	306.0	350.6	75.7
s2004_s_46	saturn	0.014e15	0	20513800e3	0.249	177.2	281.1	298.1	209.2
s2004_s_47	saturn	0.034e15	0	16050700e3	0.291	160.9	294.8	295.4	25.2
s2004_s_48	saturn	0.034e15	0	22137400e3	0.374	161.9	194.7	286.6	195.0
s2004_s_49	saturn	0.034e15	0	22399400e3	0.453	159.8	221.2	199.0	19.2
s2004_s_50	saturn	0.014e15	0	22345000e3	0.450	164.0	175.9	197.8	71.5
s2004_s_51	saturn	0.034e15	0	25207100e3	0.201	171.2	293.7	73.4	85.1
s2004_s_52	saturn	0.014e15	0	26446400e3	0.291	165.4	204.7	292.6	333.0
s2004_s_53	saturn	0.034e15	0	23279800e3	0.240	162.6	215.7	284.3	37.3
s2004_s_54	saturn	0.034e15	0	11277500e3	0.373	48.1	80.2	108.4	69.3
s2004_s_55	saturn	0.014e15	0	11294700e3	0.260	48.9	196.6	80.0	59.6
s2004_s_56	saturn	0.034e15	0	13670200e3	0.339	161.6	343.2	96.4	165.7
s2004_s_57	saturn	0.034e15	0	18150500e3	0.263	167.9	39.1	60.9	202.7
s2004_s_58	saturn	0.014e15	0	18254500e3	0.249	45.7	284.5	120.0	180.1
