label	parent	mass (kg)	epoch	sma (m)	ecc	inc(°)	lan(°)	aop(°)	ma(°)
lellouch	sol		9493.5	473651886359.96814	0.04205423	6.72272 2	57.36088 3	88.02688 1	45.3161756 1
natori	sol		9493.5	448687262973.71936	0.11025337	8.87647	92.49583 2	57.12781 2	88.0685524 1
morpurgo	sol		9493.5	385627556773.50275	0.19343958	11.15974 2	90.80111	66.77996	88.1527884 1
de rop	sol		9493.5	361223476608.7669	0.18399313	1.32445 1	91.09907 3	40.51915 2	14.9851228 1
luminet	sol		9493.5	423788477610.36566	0.01217450	3.35879 1	88.03789 1	63.10956	29.5537177 1
lecacheux	sol		9493.5	354143114107.04535	0.02707106	7.48916 1	08.16203 2	18.20754 1	49.8246195 1
1991 ts4	sol		9493.5	332358717055.0726	0.15087917	7.61872 3	42.21120 1	43.68670 3	50.4424487 1
kenzo	sol		9493.5	394609353091.1824	0.16098350	13.54847 1	23.97678	51.71019 2	4.6252309 1
1991 uq3	sol		9493.5	333737411031.4438	0.12709032	3.68562 1	08.85438 1	73.32208 1	85.9676277 1
1992 aj	sol		9493.5	485471614123.9751	0.04736789	16.38652 3	40.44528 2	31.42140 1	93.1929929 1
perry	sol		9493.5	339978634197.0478	0.17229247	4.80413 2	14.16723 1	34.99109	04.9503528 1
eisinga	sol		9493.5	343313769126.43353	0.15081626	7.74268 1	16.36973 1	15.42166	58.6319538 1
carolientje	sol		9493.5	407803092418.2077	0.09495981	13.15290 3	79.02382	06.20142 1	98.7600934 1
ichinohe	sol		9493.5	468702949440.619	0.12376079	1.17910	23.79427 3	68.71397 1	23.2793511 1
bagrov	sol		9493.5	335189213487.226	0.18675814	5.07136	49.02649 3	18.87037 3	17.5023606 1
1941 un	sol		9493.5	412287797225.2006	0.33820108	7.48898	9.18436	50.44159	96.8703745 1
annefrank	sol		9493.5	331015028980.4452	0.06310937	4.24742	20.55073 2	9.43985 1	01.1008640 1
honeycutt	sol		9493.5	336473645845.26917	0.09384517	6.78253 1	50.59239 2	24.63992 2	56.5237858 1
sanya	sol		9493.5	340541885140.0203	0.16509099	5.94389	39.57539 3	5.18447 3	10.0002609 1
luichewoo	sol		9493.5	342500794457.9014	0.16690226	5.22542	35.24384 2	45.70427 3	28.3525850 1
limporyen	sol		9493.5	364521062472.607	0.15648076	1.82142 1	95.39568 2	22.17867 2	60.8526421 1
smirnova	sol		9493.5	388528094928.7179	0.31071523	4.57576 1	22.97753 3	24.66919 2	38.7819895 1
seimei	sol		9493.5	476776447326.5566	0.14137137	12.88557 1	93.04136 2	99.60939 1	37.4304662 1
moffatt	sol		9493.5	387403642533.6014	0.15915846	15.89174 2	16.46407	63.84694 1	70.5774492 1
sharaf	sol		9493.5	337453631576.65076	0.09764830	2.46203 3	54.04424 2	11.08448 1	55.2954104 1
kazakov	sol		9493.5	402409086873.739	0.10163438	13.15474 1	9.18632 1	23.61538	39.8103299 1
makarov	sol		9493.5	395979385350.8401	0.02194653	3.41643	67.02286 2	66.02329	44.7236069 1
salavat	sol		9493.5	392022387032.74146	0.11565423	12.19327 2	87.16119 2	41.57937 2	36.8477257 1
acadiau	sol		9493.5	391491209873.24695	0.12062657	12.71045 3	40.47352 2	38.00264 2	98.0086471 1
thosharriot	sol		9493.5	448011499472.1933	0.07056710	9.97334 1	34.66956 1	21.17741 3	74.8713518 1
bobstefanik	sol		9493.5	388117359014.924	0.09599324	13.94412 1	2.31789 2	78.19965	45.2963868 1
1981 ub1	sol		9493.5	462081104412.593	0.18188781	1.11470 2	45.77199	84.98182 1	5.8028184 1
glikson	sol		9493.5	346704719021.3775	0.19514578	23.98252	17.03453 1	38.40831 1	35.5588491 1
studnicka	sol		9493.5	415031302495.54205	0.24747295	8.21951 2	74.37643	50.11709 1	79.3597668 1
chodas	sol		9493.5	409690269557.0882	0.20480363	9.77986	61.78567	2.06544 1	80.2603910 1
keesey	sol		9493.5	335640625062.0633	0.19718001	7.71692	11.77755 3	73.58408 3	31.2387384 1
wimberly	sol		9493.5	450430661599.0701	0.10717599	10.13619	2.73738 1	54.34913	49.3443417 1
1988 al	sol		9493.5	417311697637.5575	0.16774148	8.57627 3	67.74045	58.74583 1	8.0701996 1
chimikeppuko	sol		9493.5	380051879574.8559	0.15388796	5.89656 2	10.34308 3	25.84237	15.0089910 1
johnnapier	sol		9493.5	289504492140.3126	0.11274370	23.38367 2	38.84154 1	64.76439 1	50.8027935 1
beategordon	sol		9493.5	357246581773.8651	0.22846635	11.31405 1	92.34282 2	78.31388	24.6532149 1
amytis	sol		9493.5	341890480024.8067	0.10929677	5.61983 1	74.87865 1	77.84002	07.9952396 1
iguchi	sol		9493.5	326895836650.9336	0.15477990	5.92053	04.34925 1	70.97871 3	85.7887078 1
sumi	sol		9493.5	371915475784.28894	0.11133517	7.62043	92.77530 1	51.58298	56.7743991 1
yuuri	sol		9493.5	413509637834.1428	0.06105737	10.48444	67.96351	46.93827	92.1958666 1
hikari	sol		9493.5	378317037947.7093	0.12407960	7.61188 1	82.55069	35.04773	10.5009066 1
ukyounodaibu	sol		9493.5	420157916805.9216	0.21756818	10.31280 2	38.68789	65.93719 1	89.0595672 1
1991 vy3	sol		9493.5	475636840667.1381	0.15706096	1.52062 3	53.59758 3	09.10664 1	21.7407728 1
durisen	sol		9493.5	440045771892.30804	0.21832838	16.15526 3	8.96812	08.07823	33.4385810 1
mufson	sol		9493.5	338888873548.14655	0.15664035	3.70361 2	81.09670	41.62652	97.5669724 1
colby	sol		9493.5	364329367761.092	0.15835615	5.26660 2	53.70281 1	82.86619 3	44.3831086 1
kirsan	sol		9493.5	483348072349.3886	0.07354712	10.77571 3	73.98790 2	24.71351 1	50.0759180 1
lesliegreen	sol		9493.5	452210203069.982	0.06039943	9.67125 2	80.47006 1	10.80401 2	11.6061046 1
bliskunov	sol		9493.5	466810027743.5036	0.16631060	8.92647	97.39323 2	76.74093 1	56.6639213 1
hilarydownes	sol		9493.5	387446203127.81555	0.29332782	11.19710 1	77.89877 2	04.56281 1	42.9024189 1
seagrave	sol		9493.5	395034375601.62823	0.11413889	14.00734 3	44.86498 2	46.81725 1	86.8360255 1
ryanpark	sol		9493.5	460742038912.1702	0.19113714	0.59611 2	42.94415 1	30.52971 1	20.2719646 1
albanese	sol		9493.5	412784162960.18317	0.07044293	5.61086	30.80230 1	67.99031	10.3057180 1
priestley	sol		9493.5	275908708535.78107	0.04462557	22.27475 2	96.98112 2	28.01347	62.4607803 1
takakura	sol		9493.5	436034664024.37714	0.07531722	1.98535 1	79.56795	87.41765 1	40.0058512 1
uhlherr	sol		9493.5	291568030208.9613	0.09787958	23.54184 2	80.84318 1	48.02275	91.8427803 1
sharidake	sol		9493.5	337348957946.5219	0.15282672	5.77847	17.19923 3	35.25689	10.1765236 1
mitsuko	sol		9493.5	356214835179.2214	0.15774838	2.48728	65.33362 3	35.11060 1	19.4486787 1
1989 cu8	sol		9493.5	433120766779.3084	0.01750352	2.09170	17.99497 2	73.80849	25.6443178 1
braunerova	sol		9493.5	430501816696.1118	0.02130800	2.89699	60.18525 2	48.69627	27.8755231 1
izenberg	sol		9493.5	399666314632.964	0.12407522	12.83172	99.84083 1	36.14763 1	36.7198023 1
parks	sol		9493.5	405890019887.909	0.39855488	28.58505	64.79432 3	76.13496 2	11.8715684 1
1990 re6	sol		9493.5	355361364367.09076	0.14384201	3.77119	60.42069 3	53.39530 1	31.4894216 1
1990 sb	sol		9493.5	359123795694.557	0.54431656	18.04103	89.27821 2	87.61291 1	09.5830404 1
jennabelle	sol		9493.5	416668636230.56647	0.14016282	12.36303 2	93.51211 2	53.85590	24.5607478 1
de meis	sol		9493.5	411116445897.61957	0.04310344	2.02667	18.58111 3	43.03903 2	47.8455252 1
1990 va	sol		9493.5	147555725126.86136	0.28014008	14.17912	16.24877	34.49422 2	68.3254348 1
koyo	sol		9493.5	415809555498.28467	0.08672689	4.24026 1	88.04269 2	90.08177 1	15.7849881 1
oshima	sol		9493.5	474725370760.5372	0.07256881	8.47553 1	31.44143 1	02.09228 2	52.3966859 1
jonsujatha	sol		9493.5	339802273267.27954	0.09768168	5.31997 3	67.42638 1	40.47466 1	03.4493068 1
jimmiller	sol		9493.5	473437542530.8291	0.05062066	10.29784 1	28.44677 1	09.82120 1	09.3129329 1
roth	sol		9493.5	407401377256.017	0.16416838	9.82745 2	29.50398 1	62.41932 1	70.6415016 1
morbidelli	sol		9493.5	325400456335.4164	0.08374233	4.23648 2	61.70826 1	20.32199 2	10.9835061 1
warren	sol		9493.5	365704815463.669	0.20972939	4.55584 3	28.38626	26.20834 3	9.5019276 1
carlmurray	sol		9493.5	327622882302.5356	0.11333180	5.04547 1	83.41053	74.02715 2	98.6583023 1
1991 sg1	sol		9493.5	362042495031.27527	0.13206600	6.43969 1	65.61164 3	97.76887 2	17.4655996 1
1991 uy	sol		9493.5	340730692612.6308	0.13011250	7.02901 3	74.23951 3	16.09238	33.0792164 1
1991 vr	sol		9493.5	326018385300.1298	0.12470939	4.82879 3	15.45088 2	59.64179	30.7351169 1
1991 vm1	sol		9493.5	323600494755.15405	0.08210943	4.82314 1	23.57844	10.81268 1	55.6902724 1
rausudake	sol		9493.5	596951483616.216	0.05361220	4.37087	95.92281	7.62433 1	50.5373017 1
1992 fe	sol		9493.5	139125900072.70343	0.40649130	4.69833	11.93788 3	82.77327 3	49.6499500 1
kushida	sol		9493.5	338447888944.8971	0.10553377	4.30230 1	10.25933 1	80.75621	93.6095199 1
muramatsu	sol		9493.5	332963586125.6738	0.12819778	7.08045	78.05448 2	14.69090 1	89.3905633 1
1993 en	sol		9493.5	400639673178.6735	0.12765000	8.14300 2	54.88527 3	05.61725 1	45.2365836 1
olmos	sol		9493.5	395152483120.54584	0.04496488	3.07787 2	38.87698 1	54.67289	12.5103882 1
stroncone	sol		9493.5	461011509556.6621	0.15723270	1.37887 2	3.76279 2	90.05128	68.8387303 1
balster	sol		9493.5	419878707340.04706	0.04155097	3.35123 3	43.61988 2	29.05508 2	53.8126003 1
1943 dl	sol		9493.5	388161011673.5943	0.13482990	12.42922 1	53.90337 3	12.98422 3	13.1574852 1
nevskij	sol		9493.5	371971724583.6722	0.09713896	7.75395	52.85087 2	40.02767	22.2027273 1
donskoj	sol		9493.5	464401561864.3819	0.17556338	1.63049	10.17167 3	47.25605	50.4838379 1
yakovlev	sol		9493.5	429008321313.76544	0.32924944	6.67639 1	12.51992 1	20.81408 2	98.0294484 1
iskander	sol		9493.5	340141486439.09174	0.19265074	4.74407 1	09.29212 1	21.07943 2	15.5730231 1
vogtland	sol		9493.5	393601961029.8886	0.19584159	3.20366	83.48012 2	30.14783	51.0924256 1
emelyanenko	sol		9493.5	362682205445.9625	0.14446927	5.42495 2	43.11102 2	55.81195 2	84.7666715 1
saitama	sol		9493.5	335921315546.8577	0.12287429	7.06790 3	42.08834 2	43.36377 1	51.7140921 1
shair	sol		9493.5	392454365844.1748	0.21454988	25.26470 1	76.07918	41.97166 1	54.9641442 1
jasonwheeler	sol		9493.5	322931298600.1517	0.42272667	7.87318 1	28.64232	53.73661 1	56.4223873 1
erb	sol		9493.5	344317795235.6366	0.38622588	5.54573	78.88484	5.16181 2	57.7561326 1
percyjulian	sol		9493.5	418890538605.13824	0.17247217	8.10767	77.13881 2	53.13536 2	09.1923953 1
iwamori	sol		9493.5	450776382278.25775	0.10117800	11.00085 1	67.95362 2	92.96225 1	86.3946583 1
shirley	sol		9493.5	451458428890.3532	0.04922055	10.67220 2	54.56439 2	19.98390 1	92.8661240 1
jamesferguson	sol		9493.5	400092967760.20044	0.19273586	11.96890 2	74.79077	17.68744 1	25.8337501 1
melissabrucker	sol		9493.5	328351229455.6127	0.45451111	3.84877 2	73.07769 3	31.90068 1	21.2372979 1
short	sol		9493.5	280909286640.0958	0.02113535	26.35669 1	77.73942 1	69.83698	69.3474960 1
preussen	sol		9493.5	412059376236.4288	0.04517003	3.70386 1	75.06032 1	24.48203 2	57.5387492 1
kuwana	sol		9493.5	456357310362.16614	0.07550088	10.06190 2	45.40554 1	79.56260 1	32.0911254 1
billschaefer	sol		9493.5	335736472417.8208	0.14009803	2.89993	82.75225 2	64.41512 1	08.0136713 1
sekihokutouge	sol		9493.5	349240432849.31665	0.09469438	1.22667 2	6.98207 3	77.81543	25.7285867 1
ingelehmann	sol		9493.5	410467998967.2834	0.08532666	18.19313 1	82.18468	91.23924	7.9352428 1
1978 ul7	sol		9493.5	321440107025.0141	0.11227629	2.43519 3	57.91004 1	52.59539 2	03.5250086 1
victorborge	sol		9493.5	321038511541.11993	0.08350165	3.36372	61.15671 1	30.64984 2	08.9542945 1
cole	sol		9493.5	356676434369.0533	0.26937859	7.31699	73.99331 2	54.11882 2	78.1574963 1
jacobson	sol		9493.5	413202004772.8353	0.13510241	2.40340 1	25.48140 2	94.57389 1	96.9196121 1
gyas	sol		9493.5	777993031562.9076	0.12254936	22.36531 3	1.84329	33.21352	84.9972433 1
deikoon	sol		9493.5	782137954726.1796	0.10602145	10.92135	56.03796 1	92.23172 1	30.2976414 1
cuk	sol		9493.5	277032233424.09924	0.02292294	26.60316	49.52621 2	87.81294 1	38.8239298 1
yoshino	sol		9493.5	395724216262.78705	0.25332833	3.12818 1	66.56801 1	73.56131 1	68.8892997 1
mccleese	sol		9493.5	272192772226.5284	0.12655386	22.20040	51.25633 1	57.19040 1	49.5576427 1
bobbywilliams	sol		9493.5	346426048107.8375	0.33263570	24.95142	10.04474 3	39.13939 3	54.2916550 1
roques	sol		9493.5	327679400378.08606	0.17271827	5.00544 1	63.46853	14.82888 1	0.3977220 1
maureenbell	sol		9493.5	467376898954.9471	0.11321844	14.33394 2	65.83759	61.83131 1	63.2231227 1
1990 sp	sol		9493.5	202636584013.93234	0.38731467	13.50517	45.70236	48.28459	54.5480660 1
1990 tr	sol		9493.5	320767215802.60547	0.43584987	7.90563 3	14.07405	35.82078	80.5119456 1
sarojininaidu	sol		9493.5	362567224522.54254	0.27036302	21.91587 2	40.12907	27.90154 2	46.8741009 1
axius	sol		9493.5	768975406555.1952	0.16631503	22.70791 2	71.03757	69.62665	54.0691567
donnashirley	sol		9493.5	341157031584.33875	0.33649459	21.73105	3.33409	62.69537	45.4699439 1
mochihito-o	sol		9493.5	391665985065.58575	0.10675847	12.27912 2	54.23118	81.01857 2	21.3361286 1
traversa	sol		9493.5	469848809291.0327	0.15737371	14.63710 2	39.02023 2	28.08187 1	02.4234129 1
amphimachus	sol		9493.5	780731330827.3486	0.07619606	1.89715 1	81.63484 1	09.86473 2	33.1241957 1
camarillo	sol		9493.5	268390832101.4103	0.30440115	6.87469 1	9.87577 2	22.65436	27.9764042 1
terni	sol		9493.5	415769014475.32495	0.19720394	8.80109 1	13.32031	30.48963	43.2145072 1
barney	sol		9493.5	385765874964.75195	0.03823697	14.48406	93.41111 3	25.24261 1	55.0075904 1
oldfield	sol		9493.5	368275550153.139	0.26359418	4.01008	48.58984 1	83.93687 2	20.6835944 1
groombridge	sol		9493.5	386851805908.1632	0.16653141	14.13038 2	66.51300 1	04.29636 1	34.9374440 1
clausbaader	sol		9493.5	412176421610.4644	0.05330508	2.80164 1	85.34738 3	08.37149 2	13.9322509 1
vergara	sol		9493.5	348602891603.7545	0.12393833	6.41386 1	10.89817 3	69.24991 2	41.1620395 1
1974 ma	sol		9493.5	267117125910.6964	0.76198761	38.14407 1	02.10921 1	27.05563 3	63.3230715 1
hildebrand	sol		9493.5	591963202456.8727	0.23436155	13.31846	17.03371	2.07220 3	59.9996813 1
wendycalvin	sol		9493.5	447354944337.26514	0.02355372	8.54119 2	07.67486 2	57.68718 3	02.2858762 1
mckeegan	sol		9493.5	357387128973.3878	0.27001965	6.45529	40.10607 2	95.47502 2	53.7457417 1
eugster	sol		9493.5	354074059729.93024	0.13781442	5.85025 1	03.79709 2	57.89469 2	74.7251361 1
begemann	sol		9493.5	335462842952.52344	0.09195128	5.15938 2	14.77764 3	60.95517 3	02.3320108 1
rabelais	sol		9493.5	371366287041.1622	0.12489699	3.39474 2	41.49988 2	53.72086 2	72.1820641 1
nakhimovskaya	sol		9493.5	340859496379.3035	0.18730041	4.10520 1	55.54196 1	74.79350 1	02.6382235 1
foucault	sol		9493.5	340185827247.9673	0.10659331	6.09374 1	22.85053	58.24511	55.8387015 1
1985 cc2	sol		9493.5	339930987275.2298	0.03427148	3.75189	19.91183 2	80.03569 1	79.7115648 1
rosstaylor	sol		9493.5	474990697544.0107	0.11203163	19.85598 1	70.60267 3	97.35916 2	22.9853080 1
chanal	sol		9493.5	395038190347.33105	0.08796055	3.68785 2	22.00201 1	80.10358 1	37.4809522 1
libby	sol		9493.5	360467244412.59125	0.05287500	10.22975 3	71.71442 2	55.51173 1	25.5546857 1
mcallister	sol		9493.5	350616628541.2472	0.06306321	1.59893 3	38.34512	35.31000 3	8.8995800 1
wolff	sol		9493.5	352734216320.57983	0.16544017	1.70049 3	39.81141 3	11.57836	00.2758589 1
evgenilebedev	sol		9493.5	353975370014.62946	0.14024389	5.72534	27.46483 3	78.03236 2	20.3845679 1
voltaire	sol		9493.5	371822171592.33344	0.17609875	14.01790 1	07.28294 3	49.18011 2	51.9914812 1
aberdonia	sol		9493.5	424043392382.0385	0.05848280	1.50043 2	00.85935 3	20.91603 2	04.1288871 1
dubridge	sol		9493.5	408526577640.487	0.27333889	34.08018 2	47.98516	97.31529	26.6202786 1
akkado	sol		9493.5	433042661731.0159	0.04498347	2.04925 1	82.40009 2	29.51664 1	05.0120986 1
nasmyth	sol		9493.5	474426668692.1105	0.14315429	1.64273	46.54239 1	10.68757	85.6927545 1
bakulev	sol		9493.5	329078978217.207	0.19008044	5.19604	22.80192 3	7.14347 3	07.5446219 1
beresford	sol		9493.5	343619128300.10645	0.29828204	7.96277 1	12.74176	38.61174 2	36.9370488 1
bifukumonin	sol		9493.5	330915606235.57794	0.21616571	4.78754 2	65.63714 2	97.05708	56.2202898 1
kogo	sol		9493.5	332105941532.9508	0.21836387	5.55613 2	91.19866 2	21.90130	74.2603691 1
sanenobufukui	sol		9493.5	418910509920.87665	0.09360224	7.69961 2	76.56632	70.36562 2	76.6227177 1
chiyonoura	sol		9493.5	356580931088.3984	0.20924083	1.45661 1	07.32571 2	95.87460 2	11.6943257 1
yamamotoshinobu	sol		9493.5	450361936337.27057	0.17038315	12.44418 2	30.17663 3	40.06948 1	41.7694053 1
kleewyck	sol		9493.5	391412386755.1751	0.16142987	4.02922 2	41.47582 1	45.86947 1	65.1225906 1
rhon	sol		9493.5	412256591109.37256	0.11150168	5.00960 2	34.14847	17.53841 2	93.2440530 1
1992 eu	sol		9493.5	418864329058.1915	0.38030786	28.99966	0.79816 1	81.75843	18.3668278 1
fredwatson	sol		9493.5	349140172356.37354	0.11748737	26.20662	75.74488 1	35.16166 1	13.4489680 1
shirao	sol		9493.5	397862852462.5272	0.17864407	11.91370	81.60476 2	44.01212 1	50.6542111 1
1993 ea	sol		9493.5	190074237459.98346	0.58510043	5.05885 2	96.97655 1	58.97794	18.4146000 1
berenyi	sol		9493.5	389735529262.7118	0.17129256	12.24659	27.46595 2	79.70587 2	17.0222345 1
remillieux	sol		9493.5	395910420732.4474	0.13894285	12.70971 2	74.01649 3	73.56549 1	36.2726776 1
ibsen	sol		9493.5	477880374893.8131	0.16872731	3.31583 2	17.42984 1	91.53284	82.4911685 1
arrhenius	sol		9493.5	469809943764.22485	0.07521988	13.69974 1	70.42325 3	12.74104 1	13.6900292 1
nolde	sol		9493.5	466306705707.53345	0.11601794	1.54784 1	74.10898 2	63.01282	99.7216218 1
munch	sol		9493.5	359618740249.76794	0.17402324	4.33762 1	57.40613 3	48.67964 2	07.2030170 1
homerus	sol		9493.5	388121861910.8321	0.16721382	12.92508 1	63.43444 2	24.70979 1	54.3231663 1
baltuck	sol		9493.5	411981480625.1553	0.19012194	6.21790 3	34.89023	48.74758	16.8272121 1
morando	sol		9493.5	338440573609.01984	0.12550445	5.32672 2	52.79745 2	24.22774 3	63.6429242 1
hevelius	sol		9493.5	386553133759.31067	0.17513001	14.27527	36.61653 2	12.86332	44.3223735 1
schumacher	sol		9493.5	480035466859.3302	0.12206937	11.59618	51.31510	44.42603 1	25.5666566 1
ericsterken	sol		9493.5	346298695440.5106	0.22467137	4.68029 3	2.12726	51.60323	45.0294386 1
finkelstein	sol		9493.5	468971148503.20996	0.18394419	1.55843	67.79619 2	0.71518	51.5801818 1
shevchenko	sol		9493.5	327153144988.5376	0.06460131	4.34363 3	90.37006 1	18.83445 1	79.5460791 1
melancholia	sol		9493.5	325983424277.7472	0.21110809	3.24344 1	23.89699	16.07696 2	11.2087769 1
tamyeunleung	sol		9493.5	462112460126.2917	0.24282569	4.20525 2	13.55000 3	61.34544 1	29.6000444 1
silentium	sol		9493.5	325608202898.45746	0.15075464	3.36674	58.09430	2.03756 3	9.8934788 1
eneev	sol		9493.5	588775241912.6815	0.16336401	6.37154 2	14.12284	96.20910	58.9337067 1
funke	sol		9493.5	414704146912.1082	0.16742257	8.57941 1	06.18206	28.88699 2	15.1872267 1
1982 ff3	sol		9493.5	331293026703.56696	0.12013794	1.64527 1	76.35054 1	51.79126 2	88.1839547 1
krasinsky	sol		9493.5	469061909531.36365	0.19781749	1.07513 3	30.46530 2	36.90627	71.5868105 1
kramer	sol		9493.5	477634570632.46594	0.16520606	3.99769	83.40879 2	90.08999 2	03.2985030 1
pickard	sol		9493.5	355733174914.9286	0.19339131	2.28891 1	57.05665 2	47.54930 2	56.2859694 1
damir	sol		9493.5	358315368801.2942	0.21763951	2.26868 3	55.19325 2	35.93642 3	68.8047086 1
roykerr	sol		9493.5	331071352578.7637	0.23206108	6.08532 2	73.24875 3	43.38905	03.7663273 1
krizik	sol		9493.5	331632090277.50854	0.17055832	4.36829 3	19.57099 3	39.85443 3	15.3714775 1
halweaver	sol		9493.5	342953687051.6586	0.30770835	23.46816	47.73268	82.11642	33.6775345 1
1984 so5	sol		9493.5	401543109679.6179	0.12426026	4.66980 2	41.56500	49.60089 1	94.8561132 1
johnscherrer	sol		9493.5	331991903076.11615	0.15486231	6.39698 1	28.49759 3	42.39891 1	09.0394274 1
hudson	sol		9493.5	339909729417.80334	0.24516000	5.58701 1	63.07228 1	94.38079 1	54.8350845 1
1986 we	sol		9493.5	364656164309.63617	0.19441603	6.37064	00.38427	40.84983 1	32.2985299 1
nordlingen	sol		9493.5	401072998370.9432	0.05651969	22.53521	55.10395 2	79.15190	02.5050986 1
rubin	sol		9493.5	351372920576.571	0.15785036	25.28347 1	68.98258	63.91433	87.7810977 1
pierobenvenuti	sol		9493.5	348405452334.00464	0.07614092	6.21182 2	69.78769 1	57.70428 2	99.1098251 1
umbertobenvenuti	sol		9493.5	338363261429.4421	0.09429743	4.24263 2	54.33254 1	27.27762 1	45.0276528 1
1988 ta1	sol		9493.5	459294260639.10974	0.09080398	10.23389 2	03.18873 3	06.91377 2	02.0733479 1
yonosuke	sol		9493.5	435437005571.1437	0.10392487	1.85505 2	90.04040 1	68.18759	83.6909582 1
zeus	sol		9493.5	338899106042.50244	0.65240950	11.20076 2	80.58811 2	18.44402 2	81.8669316 1
1988 wc	sol		9493.5	332249555488.8228	0.40544185	22.45057 2	40.50392	53.37340 2	26.3710149 1
1989 aq	sol		9493.5	480733744840.3966	0.14969710	1.96886 3	80.04369 1	35.26615	94.3477482 1
noguchi	sol		9493.5	351026781023.3454	0.07137477	7.44870	98.36606	12.23143	96.5921656 1
loripaul	sol		9493.5	342227838183.0222	0.14811855	5.07729 3	82.40989 1	57.05135 2	77.5092620 1
sanford	sol		9493.5	355345432193.86127	0.27661945	21.59782	23.72871 3	90.99687 2	13.0000755 1
itoh	sol		9493.5	378571189770.24146	0.21067683	5.84505 1	22.94728 3	05.39058 3	23.6720888 1
billpickering	sol		9493.5	408646226017.4729	0.48146806	21.78472 2	39.28416 3	46.31951 2	16.0974085 1
robertburns	sol		9493.5	416264228306.7031	0.32004230	25.31924 3	43.39316 2	00.75702 1	66.2030766 1
toutoumi	sol		9493.5	393133315780.34674	0.19171749	13.55224	49.06368 1	18.84316	58.9700167 1
akanemaruta	sol		9493.5	428268500004.0057	0.10684510	3.23092 2	83.24165 1	99.85879	98.1063984 1
1990 tn4	sol		9493.5	464646902372.3299	0.07216220	14.44518 1	77.46826 3	22.96100	45.4829215 1
kato	sol		9493.5	334444620005.391	0.10160826	3.05001 1	33.69970 1	08.10509 3	36.8045079 1
yorimasa	sol		9493.5	332294240372.80084	0.13934764	4.84003 2	88.66106 2	19.99250 1	33.8022642 1
1991 an	sol		9493.5	327771432988.1407	0.15909623	4.88232	23.16954 3	28.41218	15.6483029 1
1991 ck	sol		9493.5	348555154923.2141	0.21498675	5.05207	56.45862	16.48213 3	29.4129087 1
williamina	sol		9493.5	358695392272.2334	0.24109943	24.63376 1	82.04647 1	70.92243 2	85.2734629 1
davebrin	sol		9493.5	383084961443.51135	0.14522275	12.95338 2	76.43336 2	63.83383 1	29.1756888 1
urduja	sol		9493.5	449888728352.67224	0.07547991	9.60227	65.08312 1	37.75543 2	09.4248075 1
kandatai	sol		9493.5	447290168459.2521	0.05503688	9.89280 1	32.94819 3	44.35157 3	28.8205036 1
zao	sol		9493.5	314377935624.3697	0.42532608	16.07379	21.62648	25.44039 1	23.7911413 1
1992 cj	sol		9493.5	335693507909.3557	0.12250580	5.51009	03.63948 3	40.60286 2	03.0026784 1
yoshidatadahiko	sol		9493.5	339184897814.6877	0.16352451	8.61644 3	27.18061 2	06.32346 3	32.8708852 1
1992 fr2	sol		9493.5	339180873631.9659	0.14202310	5.53886 2	05.35908 1	26.95153 1	77.3661446 1
1992 op7	sol		9493.5	452092095551.0643	0.11366293	9.26800	08.35304	84.41311 3	46.7925052 1
wassenbergh	sol		9493.5	386248372977.1206	0.22582027	7.60248 1	97.97250 2	43.87600 1	65.2108737 1
ticha	sol		9493.5	440796454007.4806	0.18178768	13.61754 2	37.85046 1	44.81313	94.6662307 1
brunini	sol		9493.5	336188497343.9279	0.06272145	6.76181 2	62.41626 2	65.03266	15.8006466 1
zoshchenko	sol		9493.5	431789764604.1164	0.03408571	2.99033 2	57.51478 3	40.91132	09.7654556 1
mittlefehldt	sol		9493.5	445116496438.19403	0.09203254	9.56136 1	10.23945 1	04.62761 2	37.7172294 1
andreivanov	sol		9493.5	409247100824.9265	0.35697229	9.23566	44.95956 3	98.52660 3	59.4399728 1
wanke	sol		9493.5	349790294782.86163	0.13442399	4.83120 1	91.68221	57.31806 1	15.2221340 1
williamtobin	sol		9493.5	367428153014.55884	0.16476652	0.26363 1	69.01348	29.42144 1	81.8495179 1
1985 cs1	sol		9493.5	340836159111.4743	0.21276878	4.95214	72.68872 2	77.38547 1	35.1165337 1
izett	sol		9493.5	394854170006.58295	0.26952116	31.30870	81.24517 1	59.42804	32.2694614 1
carmelofalco	sol		9493.5	344363931218.9605	0.08477018	4.74474 2	28.51439 1	52.97705	34.4114610 1
moldun	sol		9493.5	339907964162.9291	0.18634272	4.45661 1	87.78590 2	05.70593 1	06.4159731 1
pittich	sol		9493.5	355111221767.49335	0.06992201	11.93296 2	35.46610 1	71.58722 2	39.1516372 1
michard	sol		9493.5	448871507711.2735	0.09386925	9.02888	93.41938 1	29.11419 2	49.6598553 1
aricam	sol		9493.5	478816932363.33044	0.18543233	0.37121 2	63.49006 2	49.68885	37.9289980 1
somerville	sol		9493.5	469907421736.77295	0.21612030	8.26600 1	87.85641 3	03.48438 2	04.4778886 1
johnlambert	sol		9493.5	382117033300.50824	0.12847364	12.23193	75.17389	7.41941 2	43.3895165 1
hopper	sol		9493.5	336952867664.2696	0.15301534	4.75675 2	55.54737 2	64.96735 3	97.3492385 1
