Hermentaria		28.43 h (1.18 d)[1]17.790 h (0.74 d)[3]28.523 h (1.19 d)[4]					
Pariana		4.0529 h (0.16887 d)[4]					
May		7.3812 h (0.30755 d)					
Dembowska		4.701 h (0.1959 d)[1]4.701207 ± 0.000058 h[2]					
Ornamenta		9.178 h (0.3824 d)					
Yrsa		13.29 h (0.554 d)					
Gisela		7.4796 ± 0.0002 h (0.3116500 ± 8.3×10−6 d)[4]					
Ruperto-Carola		2.73898 h					
Eleonora		4.277 h (0.1782 d)[2]					
Gabriella		4.830 h (0.2013 d)					
Liguria		31.82 h (1.326 d)					
Ninina		36.0105 h (1.50044 d)					
Apollonia		50.6 h (2.11 d)					
Georgia		5.537 h (0.2307 d)					
Carlova		6.183 h (0.2576 d)					
Bononia		13.83 h (0.576 d)					
Havnia		16.92 h (0.705 d)16.919 h (0.7050 d)[2]					
Padua		8.401 h (0.3500 d)					
Isara		9.151±0.007 h[13]9.155 h[a]9.156±0.001 h[14][b]9.1570±0.0005 h[8]9.15751±0.00005 h[15]					
Corduba		12.705 h (0.5294 d)					
Vincentina		12.7365 h (0.53069 d)					
Amicitia		5.055 ± 0.001 h (0.210625 ± 4.2×10−5 d)[2]					
Haidea		9.823 h (0.4093 d)					
Aeria		4.774±0.001 h[10]4.7776±0.0002 h[11]4.7780±0.0005 h[12]4.787 h[13]4.82 h[14]14 h (poor)[15]					
Modestia		22.5299 h (0.93875 d)					
Bohemia		10.7391 h (0.44746 d)					
Palma		8.567 h (0.3570 d)[2]					
Melusina		12.97 h (0.540 d)					
Burgundia		6.972 h (0.2905 d)					
Ursula		16.78±0.01 h[3]16.83 h[10][11]16.899±0.001 h[12]16.900±0.003 h[13]					
Geometria	7.7274600 ± 9.6×10−6 h (0.3219775 ± 0.0000004 d)[4]: 333					57±5° or 240±5°[4]: 333	−22±5° or −35±5°[4]: 333
Campania	11.664401 h[5]: 564					47° or 196°[5]: 564	+67° or +66°[5]: 564
Holmia	4.440 ± 0.009 h (0.18500 ± 0.00038 d)[4]: 260						
Huenna		14.141 h (0.5892 d)[1]					
Fiducia		13.69 h					
Myrrha		6.572 h (0.2738 d)					
Dodona		4.113 h (0.1714 d)					
Janina		6.4 h (0.27 d)[2]					
Burdigala		21.1 h (0.88 d)					
Ilmatar		62.35 h (2.598 d)					
Siegena		9.763 h (0.4068 d)					
Aquitania		24.144 h (1.0060 d)[4]					
Charybdis		9.516 h (0.3965 d)					
Industria		8.53 h[9][10]					
Alma		3.74 h (0.156 d)[1]0.156 d[4]					
Ingeborg		16 h[9]26.39±0.02 h[10]26.391±0.006 h[11]26.4145±0.0005 h[12]26.4146±0.0005 h[13]26.4149±0.0001 h[14]					
Wilhelmina		17.96 h (0.748 d)					
Lampetia		38.7 h (1.61 d)[3][4]					
Arduina		16.53 h (0.689 d)					
Delia		19.681 h (0.82 d)[4]					
Aeolia		14.353 h (0.60 d)[4]					
Vienna		15.48 h (0.645 d)					
Admete		11.208 h (0.4670 d)[1]11.208±0.001 h[5]					
Persephone		9.136 h (0.3807 d)					
Ducrosa		6.87 h (0.286 d)[1]6.87 ± 0.01 hours[2]					
Ottilia		6.049 h (0.2520 d)					
Chloe		10.664 h (0.4443 d)					
Cyane		12.283 h (0.5118 d)					
Arsinoe		8.887 h (0.3703 d)					
Thia		10.08 h (0.420 d)					
Erna		8.7893±0.0002 h[5][12]8.790±0.0021 h[13]8.79079[14]					
Arachne		22.62 h (0.943 d)[4]					
Fama		202.1 h (8.42 d)[2]12.19 h[3]					
Aspasia		9.022 h (0.3759 d)[2]9.021 h[4]					
Chloris		32.50 h (1.354 d)[2]					
Xanthe		11.344 h (0.4727 d)[1]					
Elisabetha		19.635 h (0.8181 d)					
Edburga		15.773 h (0.6572 d)[1]				202°[2] (λ)	−45°[2] (β)
Liriope		7.353 h (0.3064 d)					
Palatia		20.73 h (0.864 d)					
Vaticana		5.372 h (0.2238 d)					
Suevia		7.034 h (0.2931 d)					
