Elpis	Epoch December 31, 2006 (JD 2454100.5)	406.216 million km (2.715 au)	0.117	8.631°	170.209°	210.901°	246.848°
Echo	Epoch December 31, 2006 (JD 2454100.5)	2.394 au (358.1 gm)	0.182	3.602°	191.803°	270.477°	91.065°
Danae	Epoch 4 September 2017 (JD 2458000.5)	2.9819 au	0.1670	18.212°	333.72°	12.695°	157.11°
Erato	Epoch 31 December 2006 (JD 2454100.5)	3.122 au (467.0 gm)	0.178	2.223°	125.738°	273.285°	161.828°
Ausonia	Epoch 4 September 2017 (JD 2458000.5)	2.3951 au	0.1270	5.7763°	337.75°	295.78°	340.16°
Angelina	Epoch December 31, 2006 (JD 2454100.5)	401.580 million km (2.684 au)	0.124	1.308°	309.285°	179.641°	107.758°
Cybele	Epoch 4 September 2017 (JD 2458000.5)	3.4283 au	0.1114	3.5627°	155.63°	102.37°	168.06°
Maja	Epoch 4 September 2017 (JD 2458000.5)	2.6453 au	0.1727	3.0461°	7.5071°	44.071°	241.56°
Asia	Epoch December 31, 2006 (JD 2454100.5)	2.421 au (362.2 gm)	0.185	6.027°	202.722°	106.301°	182.178°
Leto	Epoch 31 July 2016 (JD 2457600.5)	2.78112 au (416.050 gm)	0.18712	7.97189°	44.1270°	304.826°	48.7204°
Hesperia	Epoch (absent)	2.980 au (445.8 gm)	0.165	8.59°	184.99°	288.8°	
Panopaea	Epoch 30 November 2008	2.61526 au	0.181641	11.584°	47.783°	256.016°	264.193°
Niobe	Epoch 23 March 2018 (JD 2458200.5)	2.7569 au	0.1733	23.259°	316.02°	266.88°	178.02°
Feronia	Epoch December 31, 2006 (JD 2454100.5)	2.266 au (339.0 gm)	0.121	5.417°	208.137°	102.608°	146.950°
Klytia	Epoch December 31, 2006 (JD 2454100.5)	398.708 million km (2.665 au)	0.042	2.373°	7.213°	54.982°	214.253°
Galatea	Epoch December 31, 2006 (JD 2454100.5)	415.657 million km (2.778 au)	0.240	4.075°	197.313°	174.519°	36.838°
Eurydike	Epoch December 31, 2006 (JD 2454100.5)	399.951 million km (2.674 au)	0.305	5.002°	359.481°	339.566°	26.318°
Freia	Epoch 31 December 2006 (JD 2454100.5)	511.306 million km (3.418 au)	0.163	2.116°	204.535°	254.070°	299.268°
Frigga	Epoch December 31, 2006 (JD 2454100.5)	399.212 million km (2.669 au)	0.133	2.433°	1.332°	61.419°	346.682°
Diana	Epoch December 31, 2006 (JD 2454100.5)	391.934 gm (2.620 au)	0.207	8.688°	333.582°	151.423°	353.808°
Eurynome	Epoch December 31, 2006 (JD 2454100.5)	365.743 million km (2.445 au)	0.192	4.622°	206.802°	200.384°	149.498°
Sappho	Epoch 4 September 2017 (JD 2458000.5)	2.2957 au (343.43 gm)	0.19980	8.676°	218.699°	139.662°	287.260°
Terpsichore	Epoch December 31, 2006 (JD 2454100.5)	427.044 million km (2.855 au)	0.211	7.809°	1.497°	50.234°	149.581°
Alkmene	Epoch 9 December 2014 (JD 2457000.5)	2.7655 au	0.2186	2.8286°	25.507°	111.27°	192.56°
Beatrix	Epoch December 31, 2006 (JD 2454100.5)	363.776 million km (2.432 au)	0.082	4.966°	27.800°	167.170°	141.862°
Klio	Epoch December 31, 2006 (JD 2454100.5)	353.357 million km (2.362 au)	0.236	9.334°	327.651°	14.690°	326.072°
Io	Epoch 4 September 2017 (JD 2458000.5)	2.6529 au	0.1941	11.961°	203.12°	123.11°	83.678°
Semele	Epoch December 31, 2006 (JD 2454100.5)	465.884 million km (3.114 au)	0.208	4.822°	86.452°	307.886°	264.875°
Sylvia	Epoch 1 July 2021 (JD 2459396.5, heliocentric)	3.48 au (520 million km)	0.094	10.9°	73°	263°	213°
Thisbe	Epoch 31 December 2006 (JD 2454100.5)	414.025 gm (2.768 au)	0.165	5.219°	276.765°	36.591°	165.454°
Julia	Epoch 31 July 2016 (JD 2457600.5)	2.55016 au (381.499 gm)	0.18430	16.128°	311.563°	45.461°	255.367°
Antiope	Epoch 23 July 2010(JD 2455400.5)	3.1550 au	0.15670	2.2195°	70.21°	242.96°	304.12°
Aegina	Epoch 31 December 2006 (JD 2454100.5)	387.640 gm (2.591 au)	0.105	2.109°	10.806°	73.371°	183.458°
Undina	Epoch 31 July 2016 (JD 2457600.5)	3.18800 au (476.918 gm)	0.10397	9.92900°	101.588°	239.494°	6.12456°
Minerva	Epoch 31 July 2016 (JD 2457600.5)	2.7570 au (412.44 gm)	0.13998	8.56143°	4.06265°	274.543°	262.022°
Aurora	Epoch 31 July 2016 (JD 2457600.5)	3.16003 au (472.734 gm)	0.092315	7.97343°	2.59859°	60.8260°	132.718°
Arethusa	Epoch 31 July 2016 (JD 2457600.5)	3.06457 au (458.453 gm)	0.15245	12.9955°	243.038°	154.196°	250.185°
Aegle	Epoch 23 March 2018 (JD 2458200.5)	3.0524 au	0.1400	15.963°	321.60°	208.97°	29.930°
Klotho	Epoch 31 July 2016 (JD 2457600.5)	2.67206 au (399.734 gm)	0.25498	11.783°	159.705°	268.687°	85.0170°
Ianthe	Epoch 31 July 2016 (JD 2457600.5)	2.68839 au (402.177 gm)	0.18586	15.5778°	354.000°	158.686°	262.019°
Dike	Epoch 31 July 2016 (JD 2457600.5)	2.66504 au (398.684 gm)	0.19491	13.8487°	41.5307°	195.413°	18.1950°
Hekate	Epoch 2025 Nov 21 (JD 2461000.5)	3.09045 au (462.325 gm)	0.16798	6.43092°	127.156°	183.552°	323.244°
Helena	Epoch 31 July 2016 (JD 2457600.5)	2.58480 au (386.681 gm)	0.13977	10.1976°	343.419°	348.030°	236.265°
Miriam	Epoch 31 July 2016 (JD 2457600.5)	2.66101 au (398.081 gm)	0.252981	5.17832°	210.856°	147.247°	23.9115°
Hera	Epoch 31 July 2016 (JD 2457600.5)[1]	2.70109 au (404.077 gm)[1]	0.0812034[1]	5.41957°	136.186°	188.361°	133.341°
Klymene	Epoch 31 July 2016 (JD 2457600.5)	3.15256 au (471.616 gm)	0.15775	2.7905°	41.698°	32.134°	101.498°
Artemis	Epoch 31 July 2016 (JD 2457600.5)	2.37319 au (355.024 gm)	0.17782	21.444°	188.264°	57.077°	256.90°
Dione	Epoch 31 July 2016 (JD 2457600.5)	3.17451 au (474.900 gm)	0.16653	4.5972°	62.163°	329.725°	51.5257°
Camilla	Epoch 23 March 2018 (JD 2458200.5)	3.4912 au	0.0656	10.001°	172.61°	306.77°	265.91°
Hecuba	Epoch 31 July 2016 (JD 2457600.5)	3.23912 au (484.565 gm)	0.055539	4.2204°	350.014°	204.634°	166.649°
Felicitas	Epoch 31 July 2016 (JD 2457600.5)	2.6968 au (403.44 gm)	0.29674	7.8813°	3.1617°	56.392°	30.6904°
Lydia	Epoch 31 July 2016 (JD 2457600.5)	2.7325 au (408.78 gm)	0.081021	5.9645°	56.871°	283.499°	348.344°
Ate	Epoch 31 July 2016 (JD 2457600.5)	2.59349 au (387.981 gm)	0.10332	4.9318°	305.757°	166.424°	190.607°
Iphigenia	Epoch 31 July 2016 (JD 2457600.5)	2.43415 au (364.144 gm)	0.12813	2.6029°	323.538°	16.676°	169.984°
Amalthea	Epoch 31 July 2016 (JD 2457600.5)	2.37598 au (355.442 gm)	0.086651	5.0422°	123.486°	79.118°	226.48°
Kassandra	Epoch 31 July 2016 (JD 2457600.5)	2.67825 au (400.660 gm)	0.13533	4.9367°	164.222°	352.208°	197.019°
Thyra	Epoch 31 July 2016 (JD 2457600.5)	2.38077 au (356.158 gm)	0.19188	11.595°	308.901°	96.946°	108.401°
Sirona	Epoch 31 July 2016 (JD 2457600.5)	2.76741 au (413.999 gm)	0.14244	3.5635°	63.724°	94.932°	7.59231°
Lomia	Epoch 31 July 2016 (JD 2457600.5)	2.99201 au (447.598 gm)	0.028045	14.902°	348.790°	52.461°	317.47°
Peitho	Epoch 31 July 2016 (JD 2457600.5)	2.43757 au (364.655 gm)	0.16315	7.7427°	47.701°	33.403°	51.1620°
Althaea	Epoch 31 July 2016 (JD 2457600.5)	2.58147 au (386.182 gm)	0.080623	5.7831°	203.674°	170.021°	114.868°
Lachesis	Epoch 31 July 2016 (JD 2457600.5)	3.11767 au (466.397 gm)	0.052528	6.9643°	341.193°	232.822°	56.2095°
Hermione	Epoch 23 March 2018 (JD 2458200.5)	3.4478 au	0.1331	7.5975°	73.127°	298.18°	157.08°
Gerda	Epoch 31 July 2016 (JD 2457600.5)	3.22408 au (482.316 gm)	0.032493	1.64006°	178.139°	321.617°	163.616°
Brunhild	Epoch 31 July 2016 (JD 2457600.5)	2.69710 au (403.480 gm)	0.11907	6.4142°	307.834°	125.960°	96.8286°
Alkeste	Epoch 31 July 2016 (JD 2457600.5)	2.63022 au (393.475 gm)	0.075491	2.9573°	187.991°	61.413°	343.779°
Liberatrix	Epoch 31 July 2016 (JD 2457600.5)	2.74391 au (410.483 gm)	0.077651	4.66407°	169.003°	109.288°	307.971°
Velleda	Epoch 31 December 2006 (JD 2454100.5)	364.816 gm (2.439 au)[2]	0.1060806[2]	2.92451°[2]	23.47325°[2]	327.94065°[2]	117.027°
Johanna	Epoch 31 July 2016 (JD 2457600.5)	2.76 au (412.31 gm)	0.067041	8.2449°	31.154°	94.611°	67.782°
Nemesis	Epoch 23 March 2018 (JD 2458200.5)	2.75 au (411.35 gm)	0.1272	6.2453°	76.243°	303.82°	345.49°
Antigone	Epoch 31 July 2016 (JD 2457600.5)	2.87038 au (429.403 gm)	0.21145	12.262°	135.703°	111.076°	97.3536°
Elektra	Epoch 1 July 2021 (JD 2459396.5)	3.1266 au	0.20923	22.782°	145.009°	237.588°	87.758°
Vala	Epoch 31 July 2016 (JD 2457600.5)	2.43 au (363.82 gm)	0.068233	4.9602°	65.682°	160.641°	289.275°
Aethra	Epoch 21 November 2025 (JD 2461000.5)	2.6121 au (390.76 gm)	0.3870	24.9835°	258.0509°	255.6188°	113.0611°
Cyrene	Epoch 21 November 2025 (JD 2461000.5)	3.0742 au (459.89 gm)	0.1303	7.2245°	318.67°	291.65°	219.02°
Sophrosyne	Epoch 31 July 2016 (JD 2457600.5)	2.56295 au (383.412 gm)	0.11699	11.6018°	345.986°	84.7156°	229.885°
Hertha	Epoch 23 March 2018 (JD 2458200.5)	2.4279 au	0.2076	2.3052°	343.65°	340.16°	233.89°
Austria	Epoch 23 March 2018 (JD 2458200.5)	2.2869 au	0.0849	9.5788°	186.46°	132.95°	102.82°
Meliboea	Epoch 23 March 2018 (JD 2458200.5)	3.1239 au	0.2119	13.432°	202.22°	107.17°	327.88°
Tolosa	Epoch 31 July 2016 (JD 2457600.5)	2.44887 au (366.346 gm)	0.16229	3.2038°	54.762°	260.825°	348.297°
Juewa	Epoch 31 July 2016 (JD 2457600.5)	2.78073 au (415.991 gm)	0.17553	10.9127°	1.83417°	165.566°	60.2817°
Siwa	Epoch 31 July 2016 (JD 2457600.5)	2.73283 au (408.826 gm)	0.21575	3.1860°	107.263°	196.711°	200.674°
Lumen	Epoch 31 July 2016 (JD 2457600.5)	2.66488 au (398.660 gm)	0.21477	11.8967°	318.504°	58.1076°	292.477°
Polana	Epoch 31 July 2016 (JD 2457600.5)	2.4189 au (361.86 gm)	0.13457	2.2379°	291.27°	292.00°	140.92°
Adria	Epoch 23 March 2018 (JD 2458200.5)	2.7622 au	0.0748	11.442°	333.04°	252.89°	354.65°
Vibilia	Epoch 4 September 2017 (JD 2458000.5)	2.6573 au	0.2342	4.8123°	76.204°	294.36°	230.96°
Adeona	Epoch 31 July 2016 (JD 2457600.5)	2.67354 au (399.956 gm)	0.14444	12.6337°	77.4206°	44.0233°	233.709°
Lucina	Epoch 31 July 2016 (JD 2457600.5)	2.71793 au (406.597 gm)	0.066786	13.0947°	83.9692°	146.982°	198.102°
Protogeneia	Epoch 31 July 2016 (JD 2457600.5)	3.13512 au (469.007 gm)	0.028020	1.9309°	248.357°	100.692°	92.9051°
Gallia	Epoch 23 March 2018 (JD 2458200.5)	2.7708 au	0.1868	25.291°	145.01°	252.79°	278.58°
Medusa	Epoch 31 July 2016 (JD 2457600.5)	2.17 au (325.33 gm)	0.065386	0.93927°	159.615°	250.609°	280.686°
Nuwa	Epoch 31 July 2016 (JD 2457600.5)	2.9835 au (446.33 gm)	0.12573	2.1937°	206.21°	151.84°	138.03°
Abundantia	Epoch 31 July 2016 (JD 2457600.5)	2.5921 au (387.77 gm)	0.033623	6.4348°	38.872°	130.92°	141.90°
Atala	Epoch 31 July 2016 (JD 2457600.5)	3.1420 au (470.04 gm)	0.077507	12.114°	39.945°	59.807°	52.593°
Hilda	Epoch 31 July 2016 (JD 2457600.5)	3.9783 au (595.15 gm)	0.13971	7.8249°	228.16°	38.617°	51.690°
Bertha	Epoch 31 July 2016 (JD 2457600.5)	3.20 au (478.26 gm)	0.077261	20.9724°	36.7441°	159.722°	125.046°
Scylla	Epoch 23 March 2018 (JD 2458200.5)	2.7562 au	0.2774	11.388°	40.994°	45.838°	2.9234°
Xanthippe	Epoch 23 March 2018 (JD 2458200.5)	2.7272 au	0.2274	9.7818°	241.83°	338.29°	34.237°
Dejanira	Epoch 31 July 2016 (JD 2457600.5)	2.58161 au (386.203 gm)	0.19507	12.160°	62.070°	46.282°	312.135°
Koronis	Epoch 31 July 2016 (JD 2457600.5)	2.86858 au (429.133 gm)	0.052130	1.0015°	277.96°	142.37°	15.346°
Aemilia	Epoch 31 July 2016 (JD 2457600.5)	3.1033 au (464.25 gm)	0.10775	6.1308°	134.132°	333.387°	214.036°
Una	Epoch 31 July 2016 (JD 2457600.5)	2.72802 au (408.106 gm)	0.066257	3.82512°	8.60989°	52.8418°	144.472°
Athor	Epoch 31 July 2016 (JD 2457600.5)	2.37939 au (355.952 gm)	0.137237	9.05986°	18.6090°	295.007°	348.807°
Laurentia	Epoch 31 July 2016 (JD 2457600.5)	3.0177 au (451.44 gm)	0.17887	6.0977°	35.539°	116.277°	300.020°
Erigone	Epoch 31 July 2016 (JD 2457600.5)	2.3675 au (354.17 gm)	0.19064	4.8148°	160.166°	298.260°	280.031°
Eva	Epoch 31 July 2016 (JD 2457600.5)	2.6338 au (394.01 gm)	0.34577	24.4564°	76.8519°	283.9561°	219.5472°
Loreley	Epoch 31 July 2016 (JD 2457600.5)	3.1251 au (467.51 gm)	0.084887	11.224°	302.53°	347.29°	125.88°
Rhodope	Epoch 4 September 2017 (JD 2458000.5)	2.6852 au	0.2118	12.028°	128.92°	264.50°	324.65°
Urda	Epoch 31 July 2016 (JD 2457600.5)	2.8538511 au (426.93005 gm)	0.0366177	2.212408°	166.21859°	133.03586°	37.607175°
Sibylla	Epoch 31 July 2016 (JD 2457600.5)	3.3816 au (505.88 gm)	0.070943	4.6617°	205.959°	173.920°	171.517°
Zelia	Epoch 31 July 2016 (JD 2457600.5)	2.3586 au (352.84 gm)	0.13040	5.5001°	354.77°	334.90°	249.62°
Maria	Epoch 31 July 2016 (JD 2457600.5)	2.5542 au (382.10 gm)	0.063388	14.377°	301.34°	159.21°	88.062°
Ophelia	Epoch 31 July 2016 (JD 2457600.5)	3.1326 au (468.63 gm)	0.13249	2.5461°	100.52°	56.849°	11.164°
Baucis	Epoch 31 July 2016 (JD 2457600.5)	2.3799 au (356.03 gm)	0.11454	10.028°	331.98°	359.20°	175.49°
Ino	Epoch 23 March 2018 (JD 2458200.5)	2.7425 au	0.2085	14.197°	148.18°	228.89°	307.27°
Phaedra	Epoch 31 July 2016 (JD 2457600.5)	2.8615 au (428.07 gm)	0.14128	12.124°	327.69°	289.08°	330.70°
Andromache	Epoch 31 July 2016 (JD 2457600.5)	3.1853 au (476.51 gm)	0.23267	3.2184°	21.353°	320.41°	35.697°
Iduna	Epoch 31 July 2016 (JD 2457600.5)	3.1880 au (476.92 gm)	0.16796	22.660°	200.50°	188.17°	165.15°
Irma	Epoch 31 July 2016 (JD 2457600.5)	2.7685 au (414.16 gm)	0.23749	1.3893°	347.55°	38.184°	42.096°
Belisana	Epoch 23 March 2018 (JD 2458200.5)	2.4601 au	0.0433	1.8950°	51.109°	212.67°	272.93°
Klytaemnestra	Epoch 23 March 2018 (JD 2458200.5)	2.9720 au	0.1132	7.8163°	251.91°	103.64°	194.50°
Garumna	Epoch 31 July 2016 (JD 2457600.5)	2.7231 au (407.37 gm)	0.16494	0.86595°	312.18°	175.87°	301.92°
Eucharis	Epoch 31 July 2016 (JD 2457600.5)	3.12958 au (468.179 gm)	0.20347	18.890°	143.224°	318.943°	32.3207°
Elsa	Epoch 27 April 2019 (JD 2458600.5)	2.4156 au	0.1863	2.0054°	107.18°	310.85°	282.09°
